Vetor original Vet:
Elememto Vet[0]= 37262
Elememto Vet[1]= 27841
Elememto Vet[2]= 13232
Elememto Vet[3]= 22759
Elememto Vet[4]= 20235
Elememto Vet[5]= 34339
Elememto Vet[6]= 37946
Elememto Vet[7]= 15112
Elememto Vet[8]= 12789
Elememto Vet[9]= 35371
Elememto Vet[10]= 36033
Elememto Vet[11]= 36117
Elememto Vet[12]= 37229
Elememto Vet[13]= 28408
Elememto Vet[14]= 7582
Elememto Vet[15]= 28804
Elememto Vet[16]= 29725
Elememto Vet[17]= 14766
Elememto Vet[18]= 10487
Elememto Vet[19]= 10378
Elememto Vet[20]= 17938
Elememto Vet[21]= 39614
Elememto Vet[22]= 15623
Elememto Vet[23]= 14319
Elememto Vet[24]= 33143
Elememto Vet[25]= 35914
Elememto Vet[26]= 31522
Elememto Vet[27]= 37879
Elememto Vet[28]= 36999
Elememto Vet[29]= 24033
Elememto Vet[30]= 7010
Elememto Vet[31]= 3960
Elememto Vet[32]= 31134
Elememto Vet[33]= 33948
Elememto Vet[34]= 25663
Elememto Vet[35]= 23304
Elememto Vet[36]= 33064
Elememto Vet[37]= 31668
Elememto Vet[38]= 36961
Elememto Vet[39]= 8910
Elememto Vet[40]= 21090
Elememto Vet[41]= 21680
Elememto Vet[42]= 37755
Elememto Vet[43]= 16750
Elememto Vet[44]= 29992
Elememto Vet[45]= 17166
Elememto Vet[46]= 7677
Elememto Vet[47]= 28270
Elememto Vet[48]= 34898
Elememto Vet[49]= 31414
Elememto Vet[50]= 14025
Elememto Vet[51]= 28115
Elememto Vet[52]= 26944
Elememto Vet[53]= 19507
Elememto Vet[54]= 16952
Elememto Vet[55]= 37478
Elememto Vet[56]= 39497
Elememto Vet[57]= 20588
Elememto Vet[58]= 14769
Elememto Vet[59]= 15255
Elememto Vet[60]= 28065
Elememto Vet[61]= 14238
Elememto Vet[62]= 25950
Elememto Vet[63]= 33507
Elememto Vet[64]= 6104
Elememto Vet[65]= 15280
Elememto Vet[66]= 33587
Elememto Vet[67]= 31146
Elememto Vet[68]= 13653
Elememto Vet[69]= 8686
Elememto Vet[70]= 23340
Elememto Vet[71]= 26677
Elememto Vet[72]= 24606
Elememto Vet[73]= 31391
Elememto Vet[74]= 37485
Elememto Vet[75]= 3544
Elememto Vet[76]= 35376
Elememto Vet[77]= 28672
Elememto Vet[78]= 17107
Elememto Vet[79]= 44601
Elememto Vet[80]= 33219
Elememto Vet[81]= 26633
Elememto Vet[82]= 20832
Elememto Vet[83]= 42334
Elememto Vet[84]= 35739
Elememto Vet[85]= 4964
Elememto Vet[86]= 17870
Elememto Vet[87]= 29085
Elememto Vet[88]= 15404
Elememto Vet[89]= 44297
Elememto Vet[90]= 29925
Elememto Vet[91]= 17498
Elememto Vet[92]= 27766
Elememto Vet[93]= 15348
Elememto Vet[94]= 9805
Elememto Vet[95]= 24544
Elememto Vet[96]= 12546
Elememto Vet[97]= 16942
Elememto Vet[98]= 11597
Elememto Vet[99]= 14766
Elememto Vet[100]= 36798
Elememto Vet[101]= 22786
Elememto Vet[102]= 32270
Elememto Vet[103]= 18109
Elememto Vet[104]= 10422
Elememto Vet[105]= 3111
Elememto Vet[106]= 13764
Elememto Vet[107]= 39555
Elememto Vet[108]= 38916
Elememto Vet[109]= 46586
Elememto Vet[110]= 25006
Elememto Vet[111]= 22695
Elememto Vet[112]= 24211
Elememto Vet[113]= 27442
Elememto Vet[114]= 34027
Elememto Vet[115]= 20665
Elememto Vet[116]= 38900
Elememto Vet[117]= 35291
Elememto Vet[118]= 19946
Elememto Vet[119]= 24151
Elememto Vet[120]= 12634
Elememto Vet[121]= 43100
Elememto Vet[122]= 39150
Elememto Vet[123]= 22976
Elememto Vet[124]= 24185
Elememto Vet[125]= 42948
Elememto Vet[126]= 19188
Elememto Vet[127]= 14333
Elememto Vet[128]= 45738
Elememto Vet[129]= 21893
Elememto Vet[130]= 10268
Elememto Vet[131]= 27106
Elememto Vet[132]= 15159
Elememto Vet[133]= 36448
Elememto Vet[134]= 28309
Elememto Vet[135]= 31208
Elememto Vet[136]= 17323
Elememto Vet[137]= 23753
Elememto Vet[138]= 27905
Elememto Vet[139]= 22927
Elememto Vet[140]= 27846
Elememto Vet[141]= 23503
Elememto Vet[142]= 23903
Elememto Vet[143]= 16197
Elememto Vet[144]= 38466
Elememto Vet[145]= 17655
Elememto Vet[146]= 27357
Elememto Vet[147]= 18600
Elememto Vet[148]= 29305
Elememto Vet[149]= 41054
Elememto Vet[150]= 38588
Elememto Vet[151]= 18129
Elememto Vet[152]= 24216
Elememto Vet[153]= 8155
Elememto Vet[154]= 7998
Elememto Vet[155]= 8358
Elememto Vet[156]= 34779
Elememto Vet[157]= 16011
Elememto Vet[158]= 26847
Elememto Vet[159]= 12460
Elememto Vet[160]= 21580
Elememto Vet[161]= 23542
Elememto Vet[162]= 33568
Elememto Vet[163]= 21112
Elememto Vet[164]= 21835
Elememto Vet[165]= 39831
Elememto Vet[166]= 27712
Elememto Vet[167]= 15667
Elememto Vet[168]= 20254
Elememto Vet[169]= 16388
Elememto Vet[170]= 27380
Elememto Vet[171]= 29487
Elememto Vet[172]= 20472
Elememto Vet[173]= 24157
Elememto Vet[174]= 37395
Elememto Vet[175]= 32148
Elememto Vet[176]= 22108
Elememto Vet[177]= 24293
Elememto Vet[178]= 35013
Elememto Vet[179]= 36535
Elememto Vet[180]= 35997
